court,url,court_id,
Supreme Court of India,https://indiankanoon.org/browse/supremecourt/,supremecourt,
Supreme Court - Daily Orders,https://indiankanoon.org/browse/scorders/,scorders,
Allahabad High Court,https://indiankanoon.org/browse/allahabad/,allahabad,
Andhra Pradesh High Court - Amravati,https://indiankanoon.org/browse/amravati/,amravati,
Bombay High Court,https://indiankanoon.org/browse/bombay/,bombay,
Calcutta High Court,https://indiankanoon.org/browse/kolkata/,kolkata,
Calcutta High Court - Appellate Side,https://indiankanoon.org/browse/kolkata_app/,kolkata_app,
Chattisgarh High Court,https://indiankanoon.org/browse/chattisgarh/,chattisgarh,
Delhi High Court,https://indiankanoon.org/browse/delhi/,delhi,
Delhi High Court - Orders,https://indiankanoon.org/browse/delhiorders/,delhiorders,
Gauhati High Court,https://indiankanoon.org/browse/gauhati/,gauhati,
Gujarat High Court,https://indiankanoon.org/browse/gujarat/,gujarat,
Himachal Pradesh High Court,https://indiankanoon.org/browse/himachal_pradesh/,himachal_pradesh,
Jammu & Kashmir High Court,https://indiankanoon.org/browse/jammu/,jammu,
Jammu & Kashmir High Court - Srinagar Bench,https://indiankanoon.org/browse/srinagar/,srinagar,
Jharkhand High Court,https://indiankanoon.org/browse/jharkhand/,jharkhand,
Karnataka High Court,https://indiankanoon.org/browse/karnataka/,karnataka,
Kerala High Court,https://indiankanoon.org/browse/kerala/,kerala,
Madhya Pradesh High Court,https://indiankanoon.org/browse/madhyapradesh/,madhyapradesh,
Manipur High Court,https://indiankanoon.org/browse/manipur/,manipur,
Meghalaya High Court,https://indiankanoon.org/browse/meghalaya/,meghalaya,
Madras High Court,https://indiankanoon.org/browse/chennai/,chennai,
Orissa High Court,https://indiankanoon.org/browse/orissa/,orissa,
Patna High Court,https://indiankanoon.org/browse/patna/,patna,
Patna High Court - Orders,https://indiankanoon.org/browse/patna_orders/,patna_orders,
Punjab-Haryana High Court,https://indiankanoon.org/browse/punjab/,punjab,
Rajasthan High Court - Jaipur,https://indiankanoon.org/browse/jaipur/,jaipur,
Rajasthan High Court - Jodhpur,https://indiankanoon.org/browse/jodhpur/,jodhpur,
Sikkim High Court,https://indiankanoon.org/browse/sikkim/,sikkim,
Uttarakhand High Court,https://indiankanoon.org/browse/uttaranchal/,uttaranchal,
Tripura High Court,https://indiankanoon.org/browse/tripura/,tripura,
Telangana High Court,https://indiankanoon.org/browse/telangana/,telangana,
